Campaign Name,Ad Group Name,Targeting,Match Type,impressions,clicks,orders,spend,sales,ACoS(%),CVR(%),CPC($),销售占比(%),花费占比(%),label,action,adj_pct,adj_dollar,reason
SL_B08Y1SDD54_25V_精准VH_重点Fida_DW,B08Y57ZMC2_17V,"asin=""B0DDPRG84Z""",-,105,5,1,5.73,23.29,24.6,20.0,1.15,0.2,0.13,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B08Y5JN4X2_8V_精准VL_重点MayPaw_FX,B08Y5JN4X2_8V,"asin=""B08Y5JN4X2""",-,537,9,1,5.37,18.8,28.6,11.11,0.6,0.16,0.12,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B0D6G27DNH_20V_精准_H,B0D8TB18VS_15V,"asin=""B0BMQLT5LW""",-,67,6,1,5.84,39.58,14.8,16.67,0.97,0.34,0.13,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B0DSFWJK52_10V_精准_VL,B0DSFWJK52_10V,"asin=""B0FQ5675DW""",-,37,2,1,1.68,23.29,7.2,50.0,0.84,0.2,0.04,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_5_house leash for puppy training,EXACT,house leash for puppy training,EXACT,386,7,1,7.26,22.39,32.4,14.29,1.04,0.19,0.16,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_5_leashes for dogs that pull,Exact,leashes for dogs that pull,EXACT,668,5,1,7.44,23.29,31.9,20.0,1.49,0.2,0.16,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_5_leather slip lead,Exact,leather slip lead,EXACT,1705,11,1,11.17,21.27,52.5,9.09,1.02,0.18,0.24,⚠️ 高ACoS出单,↘ 降价,-15%,$0.15,ACoS严重偏高（50%），大幅降价
SL_5_nylon leash for dogs,Exact,nylon leash for dogs,EXACT,194,2,1,1.56,23.29,6.7,50.0,0.78,0.2,0.03,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_5_slip lead collar,Exact,slip lead collar,EXACT,2518,14,1,12.49,21.27,58.7,7.14,0.89,0.18,0.27,⚠️ 高ACoS出单,↘ 降价,-15%,$0.13,ACoS严重偏高（68%），大幅降价
SL_5_short training leash for dogs,Exact,short training leash for dogs,EXACT,606,6,1,7.040000000000001,18.8,37.4,16.67,1.17,0.16,0.15,⚠️ 高ACoS出单,↘ 降价,-5%,$0.06,ACoS超出目标7%，小幅降价
SL_B07458JBJD_7V_精准_VL,B07458JBJD_7V,"asin=""B07458JBJD""",-,594,8,1,8.37,21.99,38.1,12.5,1.05,0.19,0.18,⚠️ 高ACoS出单,↘ 降价,-5%,$0.05,ACoS超出目标9%，小幅降价
SL_B000OGRDQ4_18V_精准_VH,B000OGRDQ4_5V,"asin=""B000OGLEQ4""",-,745,10,1,8.879999999999999,18.8,47.2,10.0,0.89,0.16,0.19,⚠️ 高ACoS出单,↘ 降价,-10%,$0.09,ACoS超出目标35%，中幅降价
SL_B000OGRDQ4_18V_精准_VH,B000A7NONI_13V,"asin=""B000H594R8""",-,21,1,1,0.87,21.99,4.0,100.0,0.87,0.19,0.02,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B08R83QWCY_11V_精准L_FX_BeauGo_0316,B08R83HNX2_3V,"asin=""B08R85DR7F""",-,143,2,1,1.98,23.29,8.5,50.0,0.99,0.2,0.04,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B08MZJC2FH_4V_精准VL_DW,B08MZJC2FH_4V,"asin=""B08MZJC2FH""",-,22,1,1,0.67,22.39,3.0,100.0,0.67,0.19,0.01,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B07BLRY234_1V_精准_VL,B07BLRY234_1V,"asin=""B07BLRY234""",-,251,3,1,2.8499999999999996,23.29,12.2,33.33,0.95,0.2,0.06,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B079DLRVBX_10V_精准H_重点Cesar Millan_DW_0316,B07BF25WFJ_3V,"asin=""B07BF25WFJ""",-,912,9,1,8.03,20.89,38.4,11.11,0.89,0.18,0.18,⚠️ 高ACoS出单,↘ 降价,-5%,$0.04,ACoS超出目标10%，小幅降价
SL_B079DLRVBX_10V_精准H_重点Cesar Millan_DW_0316,B07BF25WFJ_3V,"asin=""B071W5LQ9H""",-,398,7,1,6.43,22.39,28.7,14.29,0.92,0.19,0.14,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B079DLRVBX_10V_精准H_重点Cesar Millan_DW_0316,B079DLRVBX_7V,"asin=""B071PDPZK6""",-,1252,12,1,10.67,17.81,59.9,8.33,0.89,0.15,0.23,⚠️ 高ACoS出单,↘ 降价,-15%,$0.13,ACoS严重偏高（71%），大幅降价
SL_B078WQDYPS_5V_精准_M,B078WQDYPS_5V,"asin=""B078WQDYPS""",-,934,10,1,9.899999999999999,22.13,44.7,10.0,0.99,0.19,0.22,⚠️ 高ACoS出单,↘ 降价,-10%,$0.10,ACoS超出目标28%，中幅降价
SL_B0CQQF67P1_6V_精准_VH,B0CQQF67P1_6V,"asin=""B0CQQF67P1""",-,835,20,1,11.879999999999999,22.39,53.1,5.0,0.59,0.19,0.26,⚠️ 高ACoS出单,↘ 降价,-15%,$0.09,ACoS严重偏高（52%），大幅降价
SL_B0CSTB6GR7_15V_精准VL_FX_观察0520,B0CSTCT1T9_14V,"asin=""B0CSTCT1T9""",-,6,1,1,0.82,22.12,3.7,100.0,0.82,0.19,0.02,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B0D5H99T3M_12V_精准VL_重点Monstoyo_DW_非常相似,B0D5H99T3M_2V,"asin=""B0D5H99T3M""",-,30,3,1,2.2,25.89,8.5,33.33,0.73,0.22,0.05,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B0D5H99T3M_12V_精准VL_重点Monstoyo_DW_非常相似,B0D5H99T3M_2V,"asin=""B0D5H9RS3K""",-,90,4,1,3.9499999999999997,23.29,17.0,25.0,0.99,0.2,0.09,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_0_合集_* slip lead *_1_观察0217,精准_14,rope slip leads for dogs,EXACT,64,2,1,0.84,23.29,3.6,50.0,0.42,0.2,0.02,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B0DSFWJK52_10V_精准_VL,B0DSFWJK52_10V,"asin=""B0DSFWJK52""",-,75,4,1,2.6799999999999997,24.2,11.1,25.0,0.67,0.21,0.06,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B0D6G27DNH_20V_精准_H,B0D6G27DNH_5V,"asin=""B0BMQQ74H2""",-,342,5,1,3.28,19.79,16.6,20.0,0.66,0.17,0.07,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_0_合集_* slip lead *_1_观察0217,精准_9,nylon slip lead leash for dogs,EXACT,121,4,1,5.35,22.39,23.9,25.0,1.34,0.19,0.12,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B09B9ZBFBM_6V_精准_L,B09B9ZBFBM_6V,"asin=""B09B9YYCNX""",-,55,3,1,1.9500000000000002,21.27,9.2,33.33,0.65,0.18,0.04,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B0B12JFZFL_17V_精准L_重点Hiado,B0B12JFZFL_6V,"asin=""B0CHLFC624""",-,79,3,1,3.68,23.29,15.8,33.33,1.23,0.2,0.08,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
SL_B0BVJ68P41_25V_精准M_重点Aiminto,B0BVJ3VHVT_15,"asin=""B0CWDHWJ29""",-,17,2,1,1.53,19.79,7.7,50.0,0.76,0.17,0.03,✅ 低ACoS出单,↗ 维持/提价,+0~5%,$0.00,表现良好，可小幅提价测试
